ss	seed	unique	Min Helix	Generation
.((((((((((((.....(((..(.((((.......)))).)..)))......)))))..))))....(((((.....(((((((((...((((...............))))...))))))))))))))...(((....)))...))).	linearbp	1360	1	MFE
.....(((((((....((.((((.(.(((.(((((..............)))))....))).).)))))))))))))((((((...(((.(((((....))............((((......))))))).)))...)))))).......	linearbp	828	1	MFE
.........(((((.......((((((.(((.....)))...(((...(..((((.(((.(((((((..((........))..))))).)).))).))))..).)))......)))).)).......)))))((.((((....)))).))	linearbp	606	1	MFE
.....((((((.((....))))...))))....(((((((...(((((.((...........)).)).)))...))).))))..((((..(((((.((.((((..((..(((((.....)))))..))...).))).))))))).)))).	linearbp	176	1	MFE
.....((((.(((((((((...((...(((.(...).)))...))...))))))..))).))))...((((.(((.....)))...))))...((((((.......((((.(((........)))...))))....))))))........	linearbp	0	1	MFE
.(((.(((((((.........((((...(....)..))))..(((.......))).......((((.(.(((..((((........)))).))).).)))).))))))).)))..((((((...))))))..((((......))))....	linearbp	0	1	MFE
....((.((((((.((..(((((((.((((.((...)))))).....)))))))..)).))..........((((((((..(((((((((........))).).)))))...))))))))(((((((...))))))).))))))......	linearbp	584	1	MFE
.((((.(..((.((..(((((((........)))))))...))))..).)))).((((((.((.....((((.....((((.((((((.......)))))).))))...))))....))))))))..(((((......))))).......	linearbp	887	1	MFE
.((((.((......((((....(((..((((.((((((((..((((.......))))..)))))......)))))))...)))...))))...)).)))).((.((((((..(.((((((....))).)))).)))))).))........	linearbp	199	1	MFE
(((((.....((....)).....)))))....((((.((((((...((...(((((((.(.(...(((((..((((((((((((...((....))..))))))))).)))..))))).).).)))))))...)).))).))).))))...	linearbp	0	1	MFE
..(.(.(((((..(((((((....((((.((((...))))...(((((..((......))))))).....(((..(((..............)))..))))))).)))))))))))).).)......(((((((((...)))))))))..	linearbp	0	1	MFE
(..(((.(..((...))..).)))..).........................((((((((((((((.((((((.((.(((.((((.....)))).)))..)).)))))))))))...)))))))))..((((((.......))))))...	linearbp	0	1	MFE
(((.(((.(.((..(((..((.....))..)))..)).)))).)))((((.((.((..((((..(((((.((((((..(..((.(((((((.......)))))))..)).)..))))))..))).)).))))..)))).)))).......	linearbp	0	1	MFE
((((...((((((((((...(.(((.....))))...))))))))))........((.((((((....))))))))..((((((((.((....((((.(.((((...)))).).))))...)).))))))))......))))........	linearbp	557	1	MFE
...((((((..((((.((((.......))))..)))))))))).......(..((.(.((.(((((((((.((((((((................).)))))))..))).)))).))))).))..).(((.((((((...))))))))).	linearbp	0	1	MFE
.(((((((..............).))))))((((((....))))))(((((.(((((.....((((......))))....))))).)))))............(((((((.(((((((((......)))))))))..)))))))......	linearbp	1203	1	MFE
....(((..(((((((....(((((.....(((((........)))))...))((((((.....(((.(.(((((........................))))).).)))........)))))).....)))...))).))))..)))..	linearbp	175	1	MFE
....(((((((.((.((((.(.(((((...(((......)))..))))).).)).)).))...)))..))))..((((((((((((((.(((.(((.(((((..............))))).))).).)).)))...)))).))))))).	linearbp	28	1	MFE
((.(.(.((.(((.............((((....))))...........))).)).).).)).(((((((((..((((((((((.((........)).)))))).....))))..(((((.(......).)))))....))).)))))).	linearbp	0	1	MFE
..(.(((...(((((((.((((((((.((((((((((((......(((.....)))........)))))))......((((((..........))))))..))))).)))))............))).))).))))...))).)......	linearbp	0	1	MFE
